"url, name_of_product"
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E Gaming Mouse HyperDrive Lite RGB White
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E Gaming Mouse HyperDrive Pro RGB Black
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E Gaming Mouse HyperDrive Pro RGB White
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MF103
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MF110 Black
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MF110 White
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MF209 WL Fox
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MF209 WL Tomcat
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MF211 Red
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MF215 WL
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MG310
https://pcroom.ge/wp-content/themes/woodmart/images/lazy.png,2E MG330
